新千歳空港,42.786787000000004,141.68293158837253
福岡空港,33.586802,130.44739386660302
羽田空港,35.54572095,139.78058713123818
石垣空港,24.3894675,124.2462283
新潟空港,37.9555294,139.118527
関西国際空港,34.43420455,135.2225230169576
宮崎空港,31.876688,131.44802521170521
鹿児島空港,31.803187,130.718951
松山空港,33.8273145,132.70132648377265
長崎空港,32.917846,129.91533753537925
成田空港,35.7652228,140.3862401
那覇空港,26.198269699999997,127.6479758684586
仙台空港,38.137423,140.92135212368083
釧路空港,43.045295100000004,144.19647215632816
大阪国際空港,34.783984700000005,135.43904072806066
大分空港,33.478623,131.7363812
熊本空港,32.8362322,130.8554312133902
奄美空港,28.431206,129.7122505
香港国際空港,22.307428950000002,113.91705965864205
仁川国際空港,37.4643856,126.44105518973086
高雄国際空港,22.5750247,120.35186186510414
金海国際空港,35.1800226,128.93644505435083
上海浦東国際空港,31.14058625,121.80496972682342
台南空港,22.98312855,120.28228065016718
台湾桃園国際空港,25.079317449999998,121.2345925139884
Suvarnabhumi Airport,13.68187665,100.74858027718852
